0,1
0.1,0.990099
0.2,0.961538
0.3,0.917431
0.4,0.862068
0.5,0.799999
0.6,0.735293
0.7,0.671141
0.8,0.609756
0.9,0.552487
1,0.500001
1.1,0.452489
1.2,0.409837
1.3,0.371748
1.4,0.337839
1.5,0.307693
1.6,0.2809
1.7,0.25707
1.8,0.23585
1.9,0.21692
2,0.200001
2.1,0.184843
2.2,0.171233
2.3,0.158983
2.4,0.147929
2.5,0.137931
2.6,0.128866
2.7,0.120628
2.8,0.113122
2.9,0.10627
3,0.1
3.1,0.0942509
3.2,0.0889682
3.3,0.0841045
3.4,0.079618
3.5,0.0754718
3.6,0.0716334
3.7,0.0680736
3.8,0.0647669
3.9,0.0616904
4,0.0588236
4.1,0.0561483
4.2,0.0536481
4.3,0.0513084
4.4,0.049116
4.5,0.0470589
4.6,0.0451264
4.7,0.0433088
4.8,0.0415974
4.9,0.0399841
5,0.0384616
5.1,0.0370234
5.2,0.0356634
5.3,0.0343761
5.4,0.0331565
5.5,0.032
5.6,0.0309024
5.7,0.0298597
5.8,0.0288684
5.9,0.0279252
6,0.027027
6.1,0.0261712
6.2,0.025355
6.3,0.0245761
6.4,0.0238322
6.5,0.0231214
6.6,0.0224417
6.7,0.0217913
6.8,0.0211685
6.9,0.0205719
7,0.02
7.1,0.0194515
7.2,0.0189251
7.3,0.0184196
7.4,0.017934
7.5,0.0174673
7.6,0.0170184
7.7,0.0165865
7.8,0.0161708
7.9,0.0157704
8,0.0153846
8.1,0.0150128
8.2,0.0146542
8.3,0.0143082
8.4,0.0139743
8.5,0.0136519
8.6,0.0133405
8.7,0.0130395
8.8,0.0127486
8.9,0.0124673
9,0.0121951
9.1,0.0119318
9.2,0.0116768
9.3,0.0114299
9.4,0.0111907
9.5,0.0109589
9.6,0.0107342
9.7,0.0105164
9.8,0.010305
9.9,0.0101
10,0.00990099
