0,1
0.1,0.909091
0.2,0.826446
0.3,0.751315
0.4,0.683013
0.5,0.620921
0.6,0.564474
0.7,0.513158
0.8,0.466507
0.9,0.424098
1,0.385543
1.1,0.350494
1.2,0.318631
1.3,0.289664
1.4,0.263331
1.5,0.239392
1.6,0.217629
1.7,0.197845
1.8,0.179859
1.9,0.163508
2,0.148644
2.1,0.135131
2.2,0.122846
2.3,0.111678
2.4,0.101526
2.5,0.0922959
2.6,0.0839054
2.7,0.0762776
2.8,0.0693433
2.9,0.0630394
3,0.0573085
3.1,0.0520986
3.2,0.0473624
3.3,0.0430567
3.4,0.0391425
3.5,0.0355841
3.6,0.0323492
3.7,0.0294083
3.8,0.0267348
3.9,0.0243044
4,0.0220949
4.1,0.0200863
4.2,0.0182603
4.3,0.0166002
4.4,0.0150911
4.5,0.0137192
4.6,0.012472
4.7,0.0113382
4.8,0.0103074
4.9,0.0093704
5,0.00851854
5.1,0.00774413
5.2,0.00704012
5.3,0.00640011
5.4,0.00581828
5.5,0.00528934
5.6,0.00480849
5.7,0.00437136
5.8,0.00397396
5.9,0.00361269
6,0.00328427
6.1,0.0029857
6.2,0.00271427
6.3,0.00246752
6.4,0.0022432
6.5,0.00203927
6.6,0.00185388
6.7,0.00168535
6.8,0.00153213
6.9,0.00139285
7,0.00126623
7.1,0.00115111
7.2,0.00104647
7.3,0.000951335
7.4,0.00086485
7.5,0.000786227
7.6,0.000714752
7.7,0.000649774
7.8,0.000590704
7.9,0.000537004
8,0.000488185
8.1,0.000443805
8.2,0.000403459
8.3,0.000366781
8.4,0.000333437
8.5,0.000303124
8.6,0.000275568
8.7,0.000250516
8.8,0.000227742
8.9,0.000207038
9,0.000188216
9.1,0.000171106
9.2,0.000155551
9.3,0.00014141
9.4,0.000128554
9.5,0.000116868
9.6,0.000106243
9.7,9.65848e-05
9.8,8.78043e-05
9.9,7.98221e-05
10,7.25656e-05
