0,1
0.6,0.538462
1.2,0.289941
1.8,0.156122
2.4,0.0840657
3,0.0452661
3.6,0.0243741
4.2,0.0131245
4.8,0.00706704
5.4,0.00380533
6,0.00204902
6.6,0.00110332
7.2,0.000594095
7.8,0.000319898
8.4,0.000172253
9,9.27514e-05
9.6,4.9943e-05
10.2,2.68924e-05
10.8,1.44805e-05
11.4,7.79721e-06
12,4.1985e-06
12.6,2.26073e-06
13.2,1.21732e-06
13.8,6.55478e-07
14.4,3.52949e-07
15,1.9005e-07
15.6,1.02334e-07
16.2,5.51032e-08
16.8,2.96709e-08
17.4,1.59767e-08
18,8.60282e-09
18.6,4.63229e-09
19.2,2.49431e-09
19.8,1.34309e-09
